-181.399, 64.297, 3.159,  6.847
-181.398, 64.192, 3.172,  6.880
-181.398, 64.086, 3.181,  6.913
-181.397, 63.980, 3.189,  6.946
-181.397, 63.873, 3.199,  6.979
-181.397, 63.766, 3.210,  7.012
-181.396, 63.659, 3.221,  7.045
-181.396, 63.551, 3.231,  7.078
-181.396, 63.443, 3.240,  7.111
-181.395, 63.335, 3.251,  7.144
-181.395, 63.226, 3.263,  7.177
-181.395, 63.117, 3.272,  7.210
-181.394, 63.008, 3.280,  7.243
-181.394, 62.898, 3.290,  7.276
-181.394, 62.788, 3.304,  7.309
-181.394, 62.678, 3.317,  7.342
-181.393, 62.567, 3.324,  7.375
-181.393, 62.456, 3.330,  7.408
-181.393, 62.345, 3.341,  7.441
-181.393, 62.233, 3.354,  7.474
-181.393, 62.121, 3.364,  7.507
-181.392, 62.009, 3.373,  7.540
-181.392, 61.896, 3.385,  7.573
